Classification Level,Count
Segniliparaceae,48
Waddliaceae,12
Synechococcales Incertae Sedis,11
Desulfolunaceae,122
Chrysiogenaceae,13
Kiritimatiellaceae,339
Lentisphaeraceae,50
Beutenbergiaceae,27
Thioalkalibacteraceae,141
Flammeovirgaceae,132
Thermolithobacteraceae,16
Thermomicrobiaceae,59
Desulfomicrobiaceae,293
Carboxydothermaceae,23
Desulfotomaculales Incertae Sedis,106
Nitriliruptoraceae,16
Thermotogaceae,123
Ethanoligenenaceae,158
Chthonomonadaceae,48
Desulforudaceae,68
Raineyaceae,32
Silvanigrellaceae,57
Halobacteroidaceae,111
A4b,31
Budviciaceae,96
Nisaeaceae,116
Armatimonadaceae,34
Acidaminobacteraceae,80
Leptococcaceae,49
Acidimicrobiales Incertae Sedis,23
Micrococcales Incertae Sedis,101
Geoalkalibacteraceae,31
Catenulisporaceae,38
Enterobacterales Incertae Sedis,28
Granulosicoccaceae,121
Oceanibaculaceae,26
Oceanospirillaceae,31
Burkholderiales Incertae Sedis,15
Ancalomicrobiaceae,11
Ferrovibrionaceae,70
Midichloriaceae,14
Izemoplasmataceae,35
Natranaerobiaceae,39
Iodidimonadaceae,33
Desulfonatronaceae,33
SAR116 clade,47
Bacteroidales Incertae Sedis,10
Caldalkalibacillaceae,22
Thermonemataceae,14
Vampirovibrionaceae,35
Ruaniaceae,14
Oleiphilaceae,99
Corynebacteriales Incertae Sedis,16
Methylopilaceae,35
Procabacteriaceae,10
Synechococcaceae,35
Jonesiaceae,38
Caedibacteraceae,59
Gallaecimonadaceae,21
Bernardetiaceae,20
Puniceispirillales Incertae Sedis,40
Leeiaceae,19
Dehalococcoidales Incertae Sedis,11
Actinospicaceae,64
Proteiniboraceae,33
Anaerofustaceae,64
Thermodesulfobiaceae,14
Flavobacteriales Incertae Sedis,16
Desulfonauticaceae,12
Thermobaculaceae,14
Brevinemataceae,26
Hippeaceae,18
Methylohalobiaceae,21
Kryptoniaceae,31
Thioreductoraceae,15
Kallotenuaceae,22
Zavarziniaceae,12
Magnetobacteriaceae,24
Limnochordaceae,12
Prochlorotrichaceae,16
Hydrogenimonadaceae,23
Alkalibacteraceae,16
Acaryochloridaceae,20
Incertae Sedis,12
Cyanobacteriales Incertae Sedis,23
Thalassobaculaceae,35
Desulfuribacillaceae,13
Thermodesulforhabdaceae,12
Algiphilaceae,10
Carboxydocellaceae,19
Paceibacteraceae,12
